case,frame,n_crops,n_pairs,n_distinct_pairs,frame_score,best_pair,best_containment,best_iou
Cosmos3_seed101_0020,99,3,3,0,0.0,,,
Cosmos3_seed101_0020,102,3,3,0,0.0,,,
Cosmos3_seed101_0020,105,3,3,0,0.0,,,
Cosmos3_seed101_0020,108,3,3,0,0.0,,,
Cosmos3_seed101_0020,111,3,3,0,0.0,,,
Cosmos3_seed101_0020,114,3,3,0,0.0,,,
Cosmos3_seed101_0020,117,3,3,0,0.0,,,
Cosmos3_seed101_0020,120,3,3,3,0.37616297602653503,1-2,0.0,0.0
Cosmos3_seed101_0020,123,2,1,0,0.0,,,
Cosmos3_seed101_0020,126,3,3,1,0.5926842093467712,2-3,0.08111173093573397,0.031547727709041
Cosmos3_seed101_0020,129,3,3,1,0.6957749128341675,2-3,0.11945637212298665,0.04757298195986076
Cosmos3_seed101_0020,132,3,3,1,0.7103069424629211,2-3,0.047519316357878386,0.02360976617903586
Cosmos3_seed101_0020,135,3,3,1,0.6297507286071777,1-3,0.010477586321392902,0.005027550256135397
Cosmos3_seed101_0020,138,3,3,1,0.58086758852005,1-3,0.0,0.0
Cosmos3_seed101_0020,141,2,1,1,0.7170673608779907,1-2,0.0,0.0
Cosmos3_seed101_0020,144,2,1,1,0.691625714302063,1-2,0.0,0.0
Cosmos3_seed101_0020,147,2,1,1,0.6017786264419556,1-2,0.0,0.0
Cosmos3_seed101_0020,150,2,1,1,0.4355977773666382,1-2,0.0,0.0
Cosmos3_seed101_0020,153,2,1,1,0.42985570430755615,1-2,0.0,0.0
Cosmos3_seed101_0020,156,3,3,1,0.47623521089553833,1-2,0.0,0.0
Cosmos3_seed101_0020,159,3,3,1,0.5203850865364075,1-2,0.0,0.0
Cosmos3_seed101_0020,162,3,3,1,0.49328023195266724,1-2,0.0,0.0
Cosmos3_seed101_0020,165,3,3,1,0.6148156523704529,1-2,0.0,0.0
Cosmos3_seed101_0020,168,3,3,1,0.6878525018692017,1-2,0.0,0.0
Cosmos3_seed101_0020,171,3,3,1,0.6404610872268677,1-2,0.0,0.0
Cosmos3_seed101_0020,174,3,3,1,0.7303260564804077,1-2,0.0,0.0
Cosmos3_seed101_0020,177,2,1,1,0.7844986319541931,1-2,0.0,0.0
Cosmos3_seed101_0020,180,3,3,1,0.7683607339859009,1-2,0.0,0.0
Cosmos3_seed101_0020,183,3,3,1,0.7342267632484436,1-2,0.0,0.0
Cosmos3_seed101_0020,186,3,3,1,0.8188588619232178,1-2,0.0,0.0
Cosmos3_seed101_0020,188,3,3,1,0.8085498809814453,1-2,0.0,0.0
Cosmos3_seed101_0036,0,3,3,3,0.18239285051822662,2-3,0.0,0.0
Cosmos3_seed101_0036,3,3,3,1,0.1201828122138977,1-2,0.0,0.0
Cosmos3_seed101_0036,6,3,3,3,0.22819343209266663,2-3,0.0,0.0
Cosmos3_seed101_0036,9,3,3,1,0.13162171840667725,1-2,0.0,0.0
Cosmos3_seed101_0036,12,3,3,3,0.3836430609226227,2-3,0.0,0.0
Cosmos3_seed101_0036,15,3,3,1,0.10462722182273865,1-3,0.0,0.0
Cosmos3_seed101_0036,18,3,3,2,0.12800434231758118,1-3,0.0,0.0
Cosmos3_seed101_0036,21,3,3,3,0.24275507032871246,2-3,0.0,0.0
Cosmos3_seed101_0036,24,3,3,3,0.3397158086299896,2-3,0.0,0.0
Cosmos3_seed101_0036,27,3,3,3,0.1579274982213974,1-2,0.0,0.0
Cosmos3_seed101_0036,30,3,3,3,0.37450116872787476,2-3,0.0,0.0
Cosmos3_seed101_0036,33,3,3,1,0.14508818089962006,1-2,0.0,0.0
Cosmos3_seed101_0036,36,3,3,1,0.17793013155460358,1-2,0.0,0.0
Cosmos3_seed101_0036,39,3,3,1,0.13292282819747925,1-2,0.0,0.0
Cosmos3_seed101_0036,42,3,3,3,0.30815526843070984,2-3,0.0,0.0
Cosmos3_seed101_0036,45,3,3,3,0.25426483154296875,2-3,0.0,0.0
Cosmos3_seed101_0036,48,3,3,3,0.20182634890079498,2-3,0.0,0.0
Cosmos3_seed101_0036,51,3,3,3,0.1829407513141632,2-3,0.0,0.0
Cosmos3_seed101_0036,54,3,3,3,0.2461138367652893,2-3,0.0,0.0
Cosmos3_seed101_0036,57,3,3,3,0.24448907375335693,1-2,0.08884280305875038,0.04066963202216722
Cosmos3_seed101_0036,60,3,3,3,0.2983722686767578,1-3,0.0,0.0
Cosmos3_seed101_0036,63,3,3,3,0.2056523561477661,2-3,0.0,0.0
Cosmos3_seed101_0036,66,3,3,3,0.3172871470451355,2-3,0.0,0.0
Cosmos3_seed101_0036,69,3,3,3,0.2961769700050354,1-3,0.0,0.0
Cosmos3_seed101_0036,72,3,3,1,0.26727840304374695,1-3,0.09078746883642332,0.04349728769805826
Cosmos3_seed101_0036,75,3,3,0,0.0,,,
Cosmos3_seed101_0036,78,3,3,2,0.2931177020072937,1-3,0.0,0.0
Cosmos3_seed101_0036,81,3,3,1,0.27485719323158264,1-2,0.3220370326435346,0.1411038423710299
Cosmos3_seed101_0036,84,3,3,0,0.0,,,
Cosmos3_seed101_0036,87,3,3,1,0.40164661407470703,1-3,0.2059118392807738,0.10249971529101527
Cosmos3_seed101_0036,90,3,3,1,0.29021361470222473,1-3,0.18459125740583873,0.10097415374513131
Cosmos3_seed101_0036,93,3,3,1,0.43922245502471924,1-3,0.23370084854398698,0.12293521905427397
Cosmos3_seed101_0036,96,3,3,1,0.3865976631641388,1-3,0.1979493309529781,0.10525853852521162
Cosmos3_seed101_0036,99,3,3,1,0.3771517276763916,1-3,0.1856578720287716,0.09828428928105441
Cosmos3_seed101_0036,102,3,3,1,0.30182984471321106,1-3,0.17042328076377958,0.09212073739324976
Cosmos3_seed101_0036,105,3,3,1,0.3488604724407196,1-3,0.18831730282185166,0.10011032387705822
Cosmos3_seed101_0036,108,3,3,3,0.42000147700309753,1-2,0.2498546397398992,0.13674501054365507
Cosmos3_seed101_0036,111,3,3,1,0.37055331468582153,1-3,0.1831089704721159,0.0981247709240894
Cosmos3_seed101_0036,114,3,3,1,0.36602362990379333,1-2,0.25479421578419065,0.13995185253875192
Cosmos3_seed101_0036,117,3,3,1,0.3160971403121948,1-2,0.12866363136385248,0.060475985552143
Cosmos3_seed101_0036,120,3,3,3,0.36875054240226746,2-3,0.0,0.0
Cosmos3_seed101_0036,123,3,3,3,0.5538026094436646,2-3,0.0937060284145139,0.02938044381229741
Cosmos3_seed101_0036,126,3,3,3,0.45129159092903137,2-3,0.0,0.0
Cosmos3_seed101_0036,129,3,3,2,0.2326081246137619,2-3,0.0,0.0
Cosmos3_seed101_0036,132,3,3,1,0.9157558679580688,1-2,0.0,0.0
Cosmos3_seed101_0036,135,3,3,2,0.6245359778404236,1-2,0.0,0.0
Cosmos3_seed101_0036,138,3,3,3,0.5694711208343506,1-2,0.0,0.0
