case,frame,evidence
Cosmos3_seed101_0012,177,0.2107462486932147
Cosmos3_seed101_0012,180,0.20531537331962965
Cosmos3_seed101_0012,183,0.23643324043354091
Cosmos3_seed101_0012,186,0.23458482573519612
Cosmos3_seed101_0012,188,0.2476624451478554
Cosmos3_seed101_0017,0,0.11172814462179342
Cosmos3_seed101_0017,3,0.10737545416059194
Cosmos3_seed101_0017,6,0.1157911495670682
Cosmos3_seed101_0017,9,0.14118780101518424
Cosmos3_seed101_0017,12,0.13473933471449442
Cosmos3_seed101_0017,15,0.1284197475722956
Cosmos3_seed101_0017,18,0.10432292741578392
Cosmos3_seed101_0017,21,0.11125934537438296
Cosmos3_seed101_0017,24,0.11017854222446392
Cosmos3_seed101_0017,27,0.1085263191896994
Cosmos3_seed101_0017,30,0.0981922876664923
Cosmos3_seed101_0017,33,0.13072704659725506
Cosmos3_seed101_0017,36,0.12249677029219977
Cosmos3_seed101_0017,39,0.12342205828903909
Cosmos3_seed101_0017,42,0.114985513859356
Cosmos3_seed101_0017,45,0.11937056373083507
Cosmos3_seed101_0017,48,0.1182566069146701
Cosmos3_seed101_0017,51,0.14177813191822555
Cosmos3_seed101_0017,54,0.12272583042093656
Cosmos3_seed101_0017,57,0.10642902857816057
Cosmos3_seed101_0017,60,0.11586712879254372
Cosmos3_seed101_0017,63,0.12340592672743807
Cosmos3_seed101_0017,66,0.11263876614256833
Cosmos3_seed101_0017,69,0.1152569169841716
Cosmos3_seed101_0017,72,0.09662891267550357
Cosmos3_seed101_0017,75,0.09735916133882531
Cosmos3_seed101_0017,78,0.13581628917006844
Cosmos3_seed101_0017,81,0.12296801311039895
Cosmos3_seed101_0017,84,0.1387559569436866
Cosmos3_seed101_0017,87,0.11630957017543014
Cosmos3_seed101_0017,90,0.12434704170579235
Cosmos3_seed101_0017,93,0.13578544533091624
Cosmos3_seed101_0017,96,0.11802517644796247
Cosmos3_seed101_0017,99,0.09944045607888592
Cosmos3_seed101_0017,102,0.09107463617941554
Cosmos3_seed101_0017,105,0.1257819400268763
Cosmos3_seed101_0017,108,0.08285378143547831
Cosmos3_seed101_0017,111,0.09817050227761381
Cosmos3_seed101_0017,114,0.1393312729379218
Cosmos3_seed101_0017,117,0.10067858956867116
Cosmos3_seed101_0017,120,0.14642144296336757
Cosmos3_seed101_0017,123,0.10313076200155877
Cosmos3_seed101_0017,126,0.08881407744688831
Cosmos3_seed101_0017,129,0.08567892509414934
Cosmos3_seed101_0017,132,0.06211145840535082
Cosmos3_seed101_0017,135,0.08034007966779894
Cosmos3_seed101_0017,138,0.10654203156196687
Cosmos3_seed101_0017,141,0.08355740681814046
Cosmos3_seed101_0017,144,0.0904701640994769
Cosmos3_seed101_0017,147,0.10192977669641146
Cosmos3_seed101_0017,150,0.091739231540149
Cosmos3_seed101_0017,153,0.08735410508205957
Cosmos3_seed101_0017,156,0.08366809355608076
Cosmos3_seed101_0017,159,0.08339119545315658
Cosmos3_seed101_0017,162,0.13370170179831609
Cosmos3_seed101_0017,165,0.08124085483247348
Cosmos3_seed101_0017,168,0.07894947052082042
Cosmos3_seed101_0017,171,0.14083886205928606
Cosmos3_seed101_0017,174,0.0749439061617762
Cosmos3_seed101_0017,177,0.07828025661455411
Cosmos3_seed101_0017,180,0.09047326362192427
Cosmos3_seed101_0017,183,0.07947871602190036
Cosmos3_seed101_0017,186,0.07670074173513688
Cosmos3_seed101_0017,188,0.06938053134604491
Cosmos3_seed101_0020,0,0.0
Cosmos3_seed101_0020,3,0.0
Cosmos3_seed101_0020,6,0.0
Cosmos3_seed101_0020,9,0.0
Cosmos3_seed101_0020,12,0.0
Cosmos3_seed101_0020,15,0.0
Cosmos3_seed101_0020,18,0.0
Cosmos3_seed101_0020,21,0.0
Cosmos3_seed101_0020,24,0.0
Cosmos3_seed101_0020,27,0.0
